Flights,Hotels,Activities,Restaurants,General,
"Subject: Your Flight Booking Confirmation

Dear Susan,

Your flight from New York City to Boston is confirmed. Below are your flight details:

- Flight Number: AA1102
- Departure Date: September 21st, 2022
- Departure Time: 12:01 PM EST
- Arrival Time: 1:20 PM EST

We look forward to having you on board.

Best regards,
American Airlines","Subject: Hotel Reservation Confirmed

Dear John,

Thank you for choosing Mariott Hotel. Your reservation has been confirmed with the following details:

- Check-in Date: August 2nd, 2002
- Check-out Date: August 7th, 2002
- Room Type: Double
- Number of Guests: 4

We look forward to your stay.

Best regards,  
Mariott Hotel","Subject: Your Activity Booking Confirmation

Dear Marisol,

Your booking for the Empire State Building tour has been confirmed. Here are the details:

- Activity: Empire State Building tour
- Date: April 10th, 2024
- Time: 12:00 PM EST
- Location: 20 W 34th St., New York, NY 10001, United States

We hope you enjoy your experience!

Best regards,  
Empire State Building staff","Subject: Restaurant Reservation Confirmed

Dear Lequinn,

Your table reservation at Upland is confirmed with the following details:

- Reservation Date: 04-01-2024
- Time: 8 pm EST
- Number of Guests: 10

We look forward to hosting you.

Best regards,  
Upland","Subject: Your Booking Is Confirmed

Dear Jin,

We are pleased to confirm your booking for the following event:

- Event: Ed Sheeran concert
- Date: 04-02-2026
- Time: Doors open at 6 pm 
- Location: Madison Square Garden 

Thank you for choosing us!

Best regards,  
Madison Square Garden staff",
"Subject: Your Flight Booking Confirmation

Dear Beth,

Your flight from New York City to Boston is confirmed. Below are your flight details:

- Flight Number: UA0212
- Departure Date: 09-24-21
- Departure Time: 08:11 PM Eastern Time
- Arrival Time: 10:10 PM Eastern Time

We look forward to having you on board.

Best regards,
United Airlines","Subject: Hotel Reservation Confirmed

Dear Tom,

Thank you for choosing Hilton Hotel. Your reservation has been confirmed with the following details:

- Check-in Date: 03/03/2022
- Check-out Date: 03/10/2022
- Room Type: Single
- Number of Guests: 2

We look forward to your stay.

Best regards,  
Hilton Hotel","Subject: Your Activity Booking Confirmation

Dear Kathy,

Your booking for Statue of Liberty has been confirmed. Here are the details:

- Activity: Statue of Liberty 
- Date: 12-20-20
- Time: 4 pm EST
- Location: New York, NY 10004, United States

We hope you enjoy your experience!

Best regards,  
Statue of Liberty staff","Subject: Restaurant Reservation Confirmed

Dear Albert,

Your table reservation at The Modern is confirmed with the following details:

- Reservation Date: January 13th, 2025
- Time: 10 am Eastern 
- Number of Guests: 2

We look forward to hosting you.

Best regards,  
The Modern","Subject: Your Booking Is Confirmed

Dear Aisha,

We are pleased to confirm your booking for the following event:

- Event: MET Entrance
- Date: February 12th, 2025
- Time: 9 pm Eastern
- Location: 1000 5th Ave, New York, NY 10028, United States

Thank you for choosing us!

Best regards,  
MET staff",
"Subject: Your Flight Booking Confirmation

Hi Saul,

Your flight from New York City to Chicago is confirmed. Below are your flight details:

- Flight Number: SA3192
- Departure Date: 01/23/24
- Departure Time: 07:11 PM Eastern Time
- Arrival Time: 10:12 PM Central Time

We look forward to having you on board.

Best regards,
Spirit Airlines","Subject: Hotel Reservation Confirmed

Hello Marie,

Thank you for choosing Hotel Chelsea. Your reservation has been confirmed with the following details:

- Check-in Date: 11-11-2011
- Check-out Date: 12-12-2012
- Room Type: Triple
- Number of Guests: 6

We look forward to your stay.

Best regards,  
Hotel Chelsea","Subject: Your Activity Booking Confirmation

Hello Ellis,

Your booking for National 9/11 Memorial & Museum tour has been confirmed. Here are the details:

- Activity: National 9/11 Memorial & Museum tour
- Date: 12-20-24
- Time: 11 am
- Location: 180 Greenwich St, New York, NY 10007, United States

We hope you appreciate your experience!

Sincerely,  
National 9/11 Memorial & Museum staff","Subject: Restaurant Reservation Confirmed

Greetings May,

Your table reservation at Manhatta is confirmed with the following details:

- Reservation Date: 10/20/2024
- Time: 10 PM EST 
- Number of Guests: 49

We look forward to serving you.

From,  
Manhatta","Subject: Your Reservation Is Confirmed

Dear Aisha,

We are pleased to confirm your reservation for the following books:

- Due: October 12th, 2030
- Location: 476 5th Ave, New York, NY 10018, United States

Thank you for choosing us!

Best regards,  
New York City Public Library",
"Subject: Your Travel Itinerary

Dear Jennifer,

Your flight from Dallas (DFW) to Paris Charles de Gaulle (CDG) is officially confirmed. Here are your flight details:

Flight Number: AF1234
Departure Date: October 18, 2024
Departure Time: 4:00 PM
Arrival Time: 7:10 AM (Next Day)
We are excited to have you on board!

Best regards,
Air France","Subject: Hotel Reservation Confirmed

Dear John,

Thank you for choosing The Grand Plaza. Your reservation has been confirmed with the following details:

Check-in Date: September 28, 2024
Check-out Date: October 2, 2024
Room Type: Deluxe King Room
Number of Guests: 2
We look forward to your stay.

Best regards,
The Grand Plaza Hotel","Subject: Your Activity Booking Confirmation

Dear John,

Your booking for a Scuba Diving Adventure has been confirmed. Here are the details:

Activity: Scuba Diving Adventure
Date: September 22, 2024
Time: 10:00 AM
Location: Blue Waters Dive Center, Honolulu
We hope you enjoy your experience!

Best regards,
Blue Waters Adventures","Subject: Restaurant Reservation Confirmed

Dear Lequinn,

Your table reservation at Symphony Sushi is confirmed with the following details:

Reservation Date: 05-12-2024
Time: 7:30 pm EST
Number of Guests: 4
We look forward to hosting you.

Best regards,
Symphony Sushi","Subject: Your Booking Is Confirmed

Dear Jin,

We are pleased to confirm your booking for the following event:

Event: Taylor Swift ""Eras"" Tour
Date: 08-15-2025
Time: Doors open at 7 pm
Location: SoFi Stadium, Los Angeles
Thank you for choosing us!

Best regards,
SoFi Stadium staff",
"Subject: Flight Confirmation for Your Upcoming Trip

Hi Michael,

Your flight from San Francisco (SFO) to Tokyo Narita (NRT) has been confirmed. Please review the details below:

Flight Number: UA3456
Departure Date: December 1, 2024
Departure Time: 1:20 PM
Arrival Time: 5:45 PM (Next Day)
Thank you for choosing to fly with us.

Best regards,
United Airlines","Subject: Your Stay at Beachside Resort is Confirmed

Dear Sarah,

Thank you for choosing Beachside Resort. Your reservation has been confirmed with the following details:

Check-in Date: November 5, 2024
Check-out Date: November 10, 2024
Room Type: Oceanview Suite
Number of Guests: 3
We can't wait to host you!

Best regards,
Beachside Resort","Subject: Confirmation for Your Hiking Tour

Dear Sarah,

Your booking for the Grand Canyon Hiking Tour has been confirmed. Here are the details:

Activity: Grand Canyon Hiking Tour
Date: October 10, 2024
Time: 7:30 AM
Location: South Rim Visitor Center, Grand Canyon National Park
We hope you enjoy your adventure!

Best regards,
Epic Trails Tours","Subject: Your Reservation at Blue Hill is Confirmed

Dear Lequinn,

Your table reservation at Blue Hill is confirmed with the following details:

Reservation Date: 06-05-2024
Time: 6:45 pm EST
Number of Guests: 2
We look forward to hosting you.

Best regards,
Blue Hill","Subject: Event Booking Confirmation

Dear Jin,

We are pleased to confirm your booking for the following event:

Event: The Weeknd ""After Hours"" Tour
Date: 09-10-2025
Time: Doors open at 5:30 pm
Location: Mercedes-Benz Arena, Berlin
Thank you for choosing us!

Best regards,
Mercedes-Benz Arena staff",
"Subject: Confirming Your Flight to London

Dear Emily,

Your flight from Boston (BOS) to London Heathrow (LHR) is confirmed. Below are your flight details:

Flight Number: BA9876
Departure Date: November 12, 2024
Departure Time: 6:45 PM
Arrival Time: 6:55 AM (Next Day)
We can't wait to have you on board for this journey!

Best regards,
British Airways","Subject: Welcome to Cityscape Hotel

Dear Emily,

We are excited to confirm your reservation at Cityscape Hotel. Here are your reservation details:

Check-in Date: October 20, 2024
Check-out Date: October 23, 2024
Room Type: Executive Suite
Number of Guests: 1
We look forward to making your stay exceptional.

Best regards,
Cityscape Hotel","Subject: Your Yoga Class Booking

Dear Emily,

Your booking for a Sunset Beach Yoga Class has been confirmed. Here are the details:

Activity: Sunset Beach Yoga Class
Date: September 30, 2024
Time: 5:00 PM
Location: Malibu Beach, California
We hope you enjoy your experience!

Best regards,
Zen Waves Yoga","Subject: Reservation Confirmation for Nobu

Dear Lequinn,

Your table reservation at Nobu is confirmed with the following details:

Reservation Date: 03-21-2024
Time: 9:00 pm EST
Number of Guests: 6
We look forward to hosting you.

Best regards,
Nobu
","Subject: Your Reservation for Billie Eilish Concert

Dear Jin,

We are pleased to confirm your booking for the following event:

Event: Billie Eilish World Tour
Date: 06-18-2025
Time: Doors open at 6:30 pm
Location: Wembley Stadium, London
Thank you for choosing us!

Best regards,
Wembley Stadium staff",
"Subject: Your Flight is Booked!

Hi Sarah,

Your flight from Chicago (ORD) to Miami (MIA) has been successfully booked. Here are your flight details:

Flight Number: DL5678
Departure Date: October 3, 2024
Departure Time: 8:30 AM
Arrival Time: 12:05 PM
We look forward to welcoming you on board.

Best regards,
Delta Airlines","Subject: Your Reservation at Mountain Lodge

Dear Michael,

Thank you for booking with Mountain Lodge. Your reservation details are as follows:

Check-in Date: December 15, 2024
Check-out Date: December 19, 2024
Room Type: Cabin with Fireplace
Number of Guests: 4
We are excited to have you stay with us.

Best regards,
Mountain Lodge","Subject: Your Skydiving Experience is Confirmed

Dear Michael,

Your booking for a Tandem Skydiving Experience has been confirmed. Here are the details:

Activity: Tandem Skydiving Experience
Date: November 5, 2024
Time: 9:00 AM
Location: Skydive City, Tampa
We look forward to providing you with an unforgettable experience!

Best regards,
Skydive City","Subject: Table Reservation Confirmed at Eleven Madison Park

Dear Lequinn,

Your table reservation at Eleven Madison Park is confirmed with the following details:

Reservation Date: 08-15-2024
Time: 7:00 pm EST
Number of Guests: 3
We look forward to hosting you.

Best regards,
Eleven Madison Park","Subject: Confirmation for Coldplay Concert Booking

Dear Jin,

We are pleased to confirm your booking for the following event:

Event: Coldplay ""Music of the Spheres"" Tour
Date: 11-07-2025
Time: Doors open at 7 pm
Location: Soldier Field, Chicago
Thank you for choosing us!

Best regards,
Soldier Field staff",
"Dear John,

We are pleased to confirm your flight from New York (JFK) to Los Angeles (LAX). Please find your travel details below:

Flight Number: AA1234
Departure Date: September 25, 2024
Departure Time: 10:00 AM
Arrival Time: 1:15 PM
Thank you for choosing to fly with us. Safe travels!

Best regards,
American Airlines","Subject: Reservation Confirmation - The Royal Palm

Dear Jennifer,

Thank you for choosing The Royal Palm. We are pleased to confirm your reservation with the following details:

Check-in Date: October 7, 2024
Check-out Date: October 14, 2024
Room Type: Penthouse Suite
Number of Guests: 2
We look forward to welcoming you!

Best regards,
The Royal Palm Hotel
","Subject: Confirmation of Your Wine Tasting Tour

Dear Jennifer,

Your booking for the Napa Valley Wine Tasting Tour has been confirmed. Here are the details:

Activity: Napa Valley Wine Tasting Tour
Date: October 12, 2024
Time: 11:00 AM
Location: Napa Valley Welcome Center, California
We hope you enjoy your experience!

Best regards,
Vineyard Journeys","Subject: Confirmation of Your Reservation at The Polo Bar

Dear Lequinn,

Your table reservation at The Polo Bar is confirmed with the following details:

Reservation Date: 02-10-2024
Time: 8:30 pm EST
Number of Guests: 5
We look forward to hosting you.

Best regards,
The Polo Bar","Subject: Your Event Booking Confirmation

Dear Jin,

We are pleased to confirm your booking for the following event:

Event: Harry Styles ""Love On Tour""
Date: 03-22-2026
Time: Doors open at 6:30 pm
Location: Rogers Arena, Vancouver
Thank you for choosing us!

Best regards,
Rogers Arena staff",
"Hi Paul Jacobs,

We are excited to confirm your upcoming flight with United Airlines to New York City. Here are your flight details:

Flight Information:
- Passenger: Paul Jacobs
- Airline: United Airlines
- Flight Number: UA 782
- Departure: San Francisco International Airport (SFO), October 12, 2024, 6:45 AM
- Arrival: Newark Liberty International Airport (EWR), October 12, 2024, 2:30 PM
- Seat: 22F (Economy)

To make any changes or check flight status, please visit our website or contact our customer service. We look forward to serving you on your trip to NYC!

Best regards,  
United Airlines  
[Contact Information]","Subject: Your Hotel Reservation Confirmation at The Plaza Hotel

Dear John Smith,

We are pleased to confirm your reservation at The Plaza Hotel, New York City.

Check-in Date: March 5, 2023
Check-out Date: March 10, 2023
Room Type: Deluxe King Room
Reservation Number: 12345678
Guests: 2 Adults
Special Requests: High-floor room, Late check-in

We look forward to welcoming you to The Plaza Hotel!

Best regards,
The Plaza Hotel Management","Dear Marcus Patel,

Your tickets for *Hamilton* at the Richard Rodgers Theatre in New York City have been confirmed. 

Show Details:
- Show: Hamilton
- Date: October 17, 2024
- Time: 7:30 PM
- Venue: Richard Rodgers Theatre, 226 W 46th St, New York, NY
- Seat Numbers: Mezzanine, Row B, Seats 12-13

Please arrive 30 minutes before the show begins. We hope you enjoy the performance!

Best regards,  
Ticketmaster  
[Contact Information]
","Dear Olivia Chang,

Your reservation at Carbone in New York City has been confirmed.

Reservation Details:
- Reservation Name: Olivia Chang
- Date: October 16, 2024
- Time: 8:00 PM
- Number of Guests: 3
- Special Request: Gluten-free menu options

We look forward to welcoming you for an unforgettable dining experience. If you need to make any changes to your reservation, please contact us.

Warm regards,  
Carbone  
New York City  
[Contact Information]
","Dear Student 

You have signed up for a membership for the New York House. In order to receive your discount when visiting New York House, you need to have a sticker on your student id. I can see that you have not picked it up yet. 

You can pick up your sticker at the Student Hub during the staffed opening hours. Remember to bring you student id! 

Best,

Maria",
"Dear Laura Simmons,

Your flight with American Airlines has been successfully booked. Please review your itinerary below:

Itinerary:
- Name: Laura Simmons
- Airline: American Airlines
- Flight Number: AA 394
- Departure: Dallas/Fort Worth International Airport (DFW), November 2, 2024, 9:15 AM
- Arrival: John F. Kennedy International Airport (JFK), November 2, 2024, 1:05 PM
- Class: Business Class
- Seat: 3A

If you need to modify your booking or have any other questions, feel free to contact us. Thank you for choosing American Airlines, and we hope you enjoy your flight.

Sincerely,  
American Airlines Customer Support  
[Contact Information]","Subject: Confirmation: Your Reservation at The Standard, High Line

Hello Alice Johnson,

Thank you for choosing The Standard, High Line.

Check-in: April 15, 2023
Check-out: April 18, 2023
Room: Standard Queen Room
Confirmation Number: ABCD1234
Guests: 1 Adult
Requests: None

See you soon!

Warm regards,
The Standard, High Line Team","Dear Rachel Green,

Your reservation for the New York City sightseeing tour has been confirmed.

Tour Details:
- Tour Name: Best of NYC Tour
- Date: October 16, 2024
- Pickup Time: 8:30 AM
- Pickup Location: Marriott Marquis Hotel Lobby
- Tour Duration: 5 hours
- Stops: Empire State Building, Statue of Liberty, Brooklyn Bridge, Central Park

Please be ready 10 minutes before the pickup time. We hope you enjoy exploring New York City!

Best regards,  
NYC Tours  
[Contact Information]","Subject: Your Reservation at Le Bernardin

Dear Amanda Clark,

Thank you for making a reservation at Le Bernardin.

Reservation Date: March 14, 2023
Reservation Time: 7:30 PM
Party Size: 2 Persons
Reservation Number: LB123456
Special Requests: Window seat

We look forward to serving you.

Sincerely,
Le Bernardin Reservations","Hello Gloria,

We wanted to let you know that we have shipped your items.

Shipping Confirmation

Your package will arrive by

Friday, October 11

Ship to

Gloria

NEW YORK CiTY, NY

Order #

111-19390293-1292

Track package
	
An Amazon driver may contact you by text message or call you for help on the day of delivery.

Shipment total

$14.30",
